epoch,mse
1,0.9807645261532976
2,0.9696020376044536
3,0.9678960334616924
4,0.9637482367425299
5,0.9599411011723334
6,0.9546184476020405
7,0.9498274630479852
8,0.9468896818259125
9,0.943865293337975
10,0.9404120160719004
11,0.9386374940597472
12,0.9349689297224759
13,0.9346568478968899
14,0.9334150287840102
15,0.9325566063692541
